"1","ProjectVersion","1.1","1"
"368","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","399"
"369","derived","derived","399"
"370","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","400"
"371","derived","derived","400"
"372","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","401"
"373","derived","derived","401"
"374","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","402"
"375","derived","derived","402"
"376","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","403"
"377","derived","derived","403"
"378","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","404"
"379","derived","derived","404"
"380","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","405"
"381","derived","derived","405"
"382","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","406"
"383","derived","derived","406"
"384","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","407"
"385","derived","derived","407"
"386","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","408"
"387","derived","derived","408"
"388","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","409"
"389","derived","derived","409"
"390","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","410"
"391","derived","derived","410"
"392","derived","derived","414"
"393","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","416"
"394","derived","derived","416"
"395","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","417"
"396","derived","derived","417"
"397","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","418"
"398","derived","derived","418"
"399","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","419"
"400","derived","derived","419"
"404","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","426"
